epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,11341.4,1.22849,1.74685,0.72576,1.14061,0.92352,0.91627,0.93746,0.61369,0.91737,0.92173,0.93616,0.59575,1.23708,1.72797,0.62444,1.22043,0.000665057,0.000665057,0.000665057
29,11716.3,1.21129,1.68357,0.70127,1.1244,0.92786,0.91258,0.94792,0.60627,0.93115,0.91054,0.94508,0.59278,1.23754,1.73508,0.65004,1.22569,0.000636762,0.000636762,0.000636762
30,12124.1,1.2162,1.72693,0.71157,1.14798,0.90666,0.70253,0.73861,0.49466,0.9059,0.70391,0.73668,0.47483,1.25244,1.71646,0.62372,1.23009,0.000608468,0.000608468,0.000608468
31,12519.6,1.20077,1.70702,0.69137,1.13423,0.92477,0.89944,0.91808,0.59643,0.92711,0.90114,0.91755,0.58037,1.24563,1.72217,0.62259,1.23293,0.000580174,0.000580174,0.000580174
32,12928.6,1.18136,1.66138,0.65345,1.1097,0.9422,0.90129,0.93924,0.61686,0.94208,0.90042,0.93656,0.60095,1.21102,1.70409,0.58549,1.2201,0.00055188,0.00055188,0.00055188
33,13319.2,1.19016,1.64949,0.66869,1.12045,0.93486,0.92295,0.94868,0.62111,0.93671,0.92467,0.94784,0.60376,1.258,1.71986,0.61301,1.22946,0.000523586,0.000523586,0.000523586
34,13652.1,1.18112,1.66248,0.67421,1.12273,0.92423,0.93008,0.94579,0.62373,0.94246,0.91565,0.94322,0.60735,1.2121,1.69949,0.60343,1.19768,0.000495291,0.000495291,0.000495291
35,14058.1,1.17654,1.67832,0.66627,1.12077,0.92751,0.92044,0.94903,0.61922,0.92461,0.91501,0.94537,0.60318,1.23087,1.71673,0.59123,1.23146,0.000466997,0.000466997,0.000466997
36,14396.3,1.15167,1.63376,0.6455,1.11416,0.89375,0.93203,0.9479,0.63359,0.91113,0.91809,0.9473,0.61569,1.20955,1.71649,0.60674,1.21342,0.000438703,0.000438703,0.000438703
37,14712,1.15377,1.67375,0.64413,1.10784,0.91343,0.93636,0.94834,0.62937,0.91478,0.93751,0.9476,0.6191,1.21138,1.7087,0.58225,1.21683,0.000410409,0.000410409,0.000410409
38,15130,1.14814,1.63224,0.63436,1.11581,0.94775,0.90465,0.95457,0.63296,0.94775,0.90465,0.95118,0.62259,1.20952,1.69239,0.5671,1.21448,0.000382115,0.000382115,0.000382115
39,15532.3,1.14159,1.62318,0.6267,1.10254,0.93613,0.93252,0.95511,0.64076,0.93503,0.92916,0.95555,0.62681,1.20838,1.69555,0.55885,1.21472,0.00035382,0.00035382,0.00035382
