frame,id,world_x,world_y,speed_kmh,contact_x,contact_y,method,num_visible_wheels
1,1,5.960203008748222,2.7080805709182,0,1185,499,keypoint,3
1,2,33.086398206299926,-278.9220864253943,0,891,350,keypoint,3
1,3,6.163450601566195,-34.94167752193654,0,835,285,keypoint,4
1,4,-2.6175652416492867,-60.19417953067884,0,979,317,keypoint,4
1,5,3.0200807229113407,-26.996613756225948,0,872,251,keypoint,4
1,6,2.373770146194865,-31.5688765198718,0,903,272,keypoint,4
2,1,5.945899381208023,2.62623498776576,7.477745332866773,1186,500,keypoint,3
2,2,56.805610945085355,-488.9699555645857,19024.456310265145,893,353,keypoint,3
2,3,6.279949226424837,-35.665641665315434,65.99498227128744,836,287,keypoint,4
2,4,-2.666406589727317,-63.07880446247403,259.6534545173118,978,319,keypoint,4
2,5,3.0200807229113407,-26.996613756225948,0.0,872,251,keypoint,4
2,6,2.400016208490131,-31.83637818538263,24.190753902685913,903,273,keypoint,4
3,1,5.9691235897626616,2.6218180364557275,4.8026952441105495,1187,500,keypoint,3
3,2,75.3605013329212,-668.3968190096261,17629.49516122122,895,354,keypoint,3
3,3,6.365766813476815,-36.037809874649135,50.184536094836275,836,288,keypoint,4
3,4,-2.440286384572109,-58.800191952552765,322.6329825990863,978,316,keypoint,4
3,5,3.054612717087805,-26.99261526678162,1.5643222950436086,871,251,keypoint,4
3,6,2.417631442686657,-31.56181081710012,24.47631030904261,902,272,keypoint,4
4,1,5.954859418557782,2.541116700781433,5.660364490424224,1188,501,keypoint,3
4,2,-1022.2892264882463,9280.078672285259,312018.37868370564,897,357,keypoint,3
4,3,6.352363178789647,-36.44286170988825,45.61456376049381,838,289,keypoint,4
4,4,-1.9730287437540308,-57.35998620412205,260.5118877850547,974,315,keypoint,4
4,5,3.089120539818078,-26.988619576169924,2.0850330716695016,870,251,keypoint,4
4,6,2.417631442686657,-31.56181081710012,16.317540206028408,902,272,keypoint,4
5,1,5.9407848129154495,2.4614878560268614,6.0646940220301815,1189,502,keypoint,3
5,2,-57.40320997272758,554.7659954155371,431530.06487740285,901,360,keypoint,3
5,3,6.533888758729844,-37.243712790174655,52.68716315533348,838,291,keypoint,4
5,4,-1.6752925238642717,-57.23993218060716,202.60707557021433,971,315,keypoint,4
5,5,3.089120539818078,-26.988619576169924,1.5637748037521262,870,251,keypoint,4
5,6,2.5052378706376808,-31.54769812481096,14.234712188612898,900,272,keypoint,4
6,1,5.917862532471488,2.4658076955876607,5.271619235235546,1188,502,keypoint,3
6,2,-33.99514487858593,339.1055977118198,349128.7387864667,903,362,keypoint,3
6,3,6.533888758729844,-37.243712790174655,42.149730524266786,838,291,keypoint,4
6,4,-1.303447607723164,-54.791705158104335,206.65914225085368,968,313,keypoint,4
6,5,3.1236042164722972,-26.98462668145324,1.8758732346663785,869,251,keypoint,4
