frame,id,x,y,width,height,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf
3,2,874.7609252929688,337.69515323638916,43.0447998046875,40.767019271850586,285.67957,203.43443,0.7730338,288.79492,211.06801,0.8021851,291.67877,204.17184,0.2180708,298.4695,210.25558,0.5560864,301.51672,204.70648,0.038882855,293.6222,212.85829,0.045335542,292.35287,209.75864,0.019737603,283.76428,203.87764,0.03549446,293.91428,201.32687,0.018896079,282.26215,207.31213,0.030065602
3,3,830.5107421875,281.3898525238037,24.869293212890625,23.18437957763672,273.57782,169.7174,0.7157959,274.97937,173.46724,0.75033075,277.54822,169.37474,0.33722997,280.64777,173.12129,0.56915706,282.84366,170.6503,0.042154994,277.87903,175.87776,0.029260317,276.49826,172.8261,0.02061797,273.39093,168.20114,0.033008337,279.0946,165.8171,0.018178478,268.15552,170.25102,0.020619087
3,4,988.4620056152344,309.17399311065674,32.37908935546875,25.608821868896484,334.23062,189.48943,0.6977301,332.39932,187.42644,0.646977,327.42218,189.2907,0.5346772,324.8077,186.166,0.59352034,322.38107,185.29031,0.041912377,328.84164,190.2536,0.03382945,330.5116,186.98837,0.032192275,329.64978,186.00023,0.035545755,332.7468,185.42714,0.021034215,324.41763,184.99551,0.02254974
3,5,878.1437072753906,246.7906951904297,17.52410888671875,13.280076026916504,295.3481,150.90004,0.6466753,293.2578,148.46126,0.6063959,290.91006,149.48055,0.6041159,290.32053,148.94801,0.5975995,290.75345,147.75458,0.052433528,292.70676,151.47813,0.04340123,294.20496,146.32277,0.037156347,292.12158,145.75308,0.043654773,293.12604,146.00378,0.026097255,284.2507,152.32253,0.034950614
3,6,910.510986328125,266.6846351623535,24.38653564453125,19.236382484436035,306.03647,162.58986,0.6328152,304.88156,160.1531,0.59415793,301.6031,162.60149,0.6324812,300.2708,160.14679,0.6152627,299.2336,160.01543,0.04536215,301.94025,163.3143,0.028828816,302.38586,157.85112,0.027787518,302.24023,158.36212,0.03031116,299.78513,158.03645,0.019810777,294.60962,160.45984,0.02339575
4,1,1144.7968139648438,463.87767219543457,113.63223266601562,87.16309833526611,363.75528,280.25357,0.86019295,379.15784,299.81204,0.8883177,373.59436,284.88013,0.03400241,396.2093,297.03323,0.32720485,405.64282,280.03784,0.0028333755,386.47495,301.27234,0.0023425105,386.38522,299.409,0.000371636,361.66638,287.98532,0.0014550962,390.27692,284.9776,0.00041224816,360.42633,287.94232,0.0011922596
4,2,876.6211853027344,339.52424812316895,42.11517333984375,41.74587535858154,285.83994,205.22542,0.7846846,289.40176,212.58432,0.80928516,292.05026,205.95595,0.21183585,299.12088,211.80286,0.54655355,302.6654,205.75995,0.03654074,294.42694,214.85808,0.037217952,292.20966,211.92973,0.01681107,284.39587,205.88899,0.030982971,294.413,202.94768,0.016416432,282.07364,208.6936,0.024193577
4,3,830.7189331054688,282.33142375946045,25.43701171875,23.77280044555664,273.73743,170.05891,0.6857136,274.95956,173.76184,0.69920105,278.55884,170.15862,0.37742484,280.44598,173.47263,0.5893836,282.5827,171.50543,0.05663045,277.61343,175.39429,0.06149978,278.84424,172.13062,0.035360917,272.13092,168.69461,0.054150146,278.21143,165.27415,0.034878943,269.32745,171.74489,0.047178466
4,4,985.8849792480469,307.9938554763794,33.52587890625,24.78644371032715,333.6062,188.71011,0.7000073,331.58188,186.83604,0.6451226,326.35175,188.77043,0.5329649,323.57962,185.45627,0.59438497,321.22916,184.2956,0.04349359,327.8983,189.36377,0.039166477,329.9191,186.58017,0.036683526,328.79205,185.69508,0.038651105,332.65906,185.11249,0.02318303,324.1804,184.21997,0.026295135
4,5,876.8349609375,246.64989852905273,17.576751708984375,13.441575050354004,294.96957,150.7335,0.65235525,292.97534,148.37886,0.61239344,290.61404,149.36763,0.5942586,290.0571,148.91669,0.596463,290.6018,147.6575,0.053460136,292.57172,151.40152,0.045041267,294.08176,146.26805,0.03843665,291.87198,145.64471,0.045518216,293.23093,145.7442,0.027227236,284.2692,152.29381,0.036110893
4,6,909.731689453125,266.4121313095093,23.53271484375,19.202110290527344,305.84607,162.37672,0.6356662,304.71545,160.00032,0.59527886,301.46738,162.4846,0.6286551,300.1389,160.03773,0.6144001,299.26437,159.87733,0.045231484,301.83044,163.14261,0.029179426,302.27872,157.79025,0.027689919,302.033,158.28073,0.030614043,299.86926,157.86774,0.020034416,294.56326,160.28975,0.023624308
5,1,1144.8158569335938,464.8040256500244,114.40145874023438,86.90303134918213,363.84732,280.82953,0.86040014,379.40057,300.2251,0.889141,373.77026,285.5078,0.03430397,396.36478,297.52335,0.32599524,405.88025,280.45273,0.0027559455,386.74118,301.87347,0.0021672598,386.37167,300.0476,0.00034998168,362.04074,288.60422,0.0013827869,390.3939,285.5202,0.00038641065,360.40915,288.58905,0.0010926869
5,2,878.1798706054688,343.3611373901367,42.664764404296875,40.69731616973877,286.37408,207.93811,0.8089577,290.1513,215.23347,0.840461,292.77243,208.35823,0.18308356,300.59137,213.73079,0.46915364,305.8764,207.23575,0.01647678,295.76654,218.9232,0.006497836,290.1834,217.69879,0.003507531,287.74188,208.62103,0.008327296,298.2352,207.09097,0.0032692312,278.9608,209.89977,0.0038452314
5,3,830.343017578125,283.5424346923828,25.7574462890625,24.296024322509766,273.6683,170.73366,0.689383,274.99493,174.55557,0.7062592,278.38916,170.80946,0.37014866,280.5516,174.24707,0.59102964,282.60468,172.41774,0.05509837,277.6472,176.19562,0.05842076,278.6619,172.80234,0.034109566,272.01248,169.35805,0.05249407,278.09143,165.96448,0.033496812,269.30603,172.3336,0.04419384
5,4,982.9679260253906,307.68149185180664,34.319091796875,24.98056697845459,332.71246,188.63077,0.6922641,330.55148,186.63942,0.63440377,325.53735,188.5637,0.53774637,322.58337,185.09784,0.58730626,320.37445,184.34175,0.042282216,326.93655,189.21078,0.038966242,329.8322,186.43219,0.03394101,327.66245,185.72182,0.037735138,332.35785,184.36165,0.022141982,323.33728,183.86797,0.026111195
5,5,876.0071411132812,246.64098930358887,17.685333251953125,13.681943893432617,295.13138,151.11626,0.6508346,293.19846,148.53798,0.6076532,290.52432,149.60147,0.60003877,290.12814,148.97684,0.5979652,290.47388,147.6774,0.05265787,292.7414,151.70811,0.04373322,294.28125,146.29736,0.037449826,291.88892,145.71805,0.044169106,292.8914,146.09401,0.026268635,284.12,152.73251,0.03481948
5,6,908.2030334472656,266.8310194015503,23.46112060546875,19.474279403686523,305.44543,162.79422,0.6415153,304.3872,160.2131,0.60035604,300.86133,162.7396,0.6218011,299.56046,160.20935,0.6150754,298.20276,160.20763,0.04807309,301.5399,163.45607,0.03172386,301.98053,158.17197,0.030418357,301.5619,158.58873,0.03401049,299.7135,157.86194,0.02244502,294.68906,160.32541,0.024994079
6,1,1144.78857421875,465.35840606689453,114.76199340820312,86.87666416168213,363.91904,281.17145,0.8581394,379.48795,300.52847,0.888089,373.94376,285.872,0.0348903,396.22302,297.89612,0.32616538,405.91095,280.86465,0.0026831706,386.7325,302.23563,0.002021298,386.3626,300.4886,0.00033445487,362.31897,289.0465,0.001314843,390.64587,285.8911,0.00036579987,360.33783,288.84314,0.0010248022
6,2,880.3472900390625,345.5922803878784,43.269012451171875,41.40590858459473,287.21875,208.93297,0.7388305,290.68347,216.47769,0.74853957,294.60703,211.04408,0.2563649,301.2371,215.03784,0.55258375,304.41403,210.92365,0.047837265,295.58728,217.77733,0.05136882,294.96555,214.11815,0.02115698,285.17145,209.1484,0.04079722,292.53506,206.75595,0.02540554,283.96954,213.41727,0.03719049
6,3,830.8320922851562,284.74353218078613,24.371063232421875,23.55215549468994,274.02042,171.41592,0.6877715,275.31967,175.14093,0.7049606,278.6336,171.4875,0.37715366,280.7937,174.79161,0.5908972,282.97665,173.1018,0.052456338,277.82748,176.79294,0.052228685,278.73047,173.40903,0.03128726,272.46143,170.0254,0.047807757,278.1942,166.76404,0.030359343,269.3536,172.84004,0.039743066
