frame,id,world_x,world_y,speed_kmh
1,1,4.709802436978235,2.310905367013068,0
1,2,72.17666334806198,-459.1968840327178,0
1,3,6.933129613669794,-36.84186165072878,0
1,4,-4.486434972159802,-69.94218035392828,0
1,5,2.857737604709505,-27.574793745983722,0
1,6,2.120419798815713,-33.04403231416752,0
2,1,4.706654103281028,2.244548519957357,5.978834298220355
2,2,301.059369720217,-1931.038005656055,134057.81962526188
2,3,7.09717395601287,-37.669689304984736,75.95323751089276
2,4,-4.671560789343334,-73.34404415998418,306.6207531747356
2,5,2.8609434890350656,-27.601035510480727,2.379317964380485
2,6,2.1507494417052007,-33.12065965199099,7.417024520095996
3,1,4.743530982496545,2.263078329600237,4.846591773050105
3,2,-648.5777570964702,4197.459210220706,346102.5288009128
3,3,7.1254694322631185,-37.99019727508561,52.45557367528388
3,4,-4.2357281206705775,-68.77995969079251,359.62846775467926
3,5,2.8687535657216046,-27.43717602012267,8.57170700448458
3,6,2.1432883142119055,-32.82759300400568,16.9007846338378
4,1,4.755264298941053,2.2493208040447783,3.77350583522527
4,2,-100.40084065675157,658.9339942968713,338157.0503297096
4,3,7.246088972508475,-38.53951534917069,51.842533409832406
4,4,-3.71504597913427,-65.76015420036781,331.6832727977232
4,5,2.9135917270286775,-27.42110212748058,7.143438676979127
4,6,2.1723043357298155,-32.73616639148718,14.144806735825371
5,1,4.7330264072204296,2.192449326096397,4.204083513683737
5,2,-44.851715698499,296.19326621974585,261874.59926424111
5,3,7.4305580609132456,-39.21350201007704,54.604343402037486
5,4,-3.3460650989151057,-65.23198105715316,263.25905215030957
5,5,2.9458642881688317,-27.437044098290404,6.167474199655599
5,6,2.2573816027030706,-32.887452149052606,14.513863738579515
6,1,4.717134683006068,2.154284372022982,4.107411850713907
6,2,-30.398020817002102,204.39184642566744,211172.46057786606
6,3,7.498909694101844,-39.61680445323139,51.0464386138459
6,4,-2.7337099209998335,-62.05366215504712,268.8691291767913
6,5,2.961331170339403,-27.354745935421757,6.441280492884324
6,6,2.2921042937926677,-32.789206856622016,13.486705048886572
7,1,4.681945389761063,2.061055839233696,4.9175723747483815
7,2,-22.54252169187105,153.25314749296828,176753.12841828738
7,3,7.670445599039495,-40.61137387436922,57.67750337272896
7,4,-2.24690692492152,-60.05599307697166,254.8995150633758
7,5,2.9867067294565572,-27.383291734273687,5.94064374340322
7,6,2.3685342766885102,-32.74926986132203,12.53244854010263
8,1,4.644948311789622,1.9460904531584329,5.767842113545986
8,2,-16.31107796719379,113.50950875756817,152019.91394149262
8,3,7.9528795174457745,-42.26313793737015,70.98304598619559
8,4,-2.0015350374214615,-60.8596737902303,229.28920138007317
8,5,3.004526214913978,-27.469144215560416,6.21932397927966
8,6,2.468470968886996,-32.792969311591875,12.144469726768131
9,1,4.633199492152399,1.8496276534577796,6.140087884996118
9,2,-13.295670509338647,94.38682779486227,133235.21307930848
9,3,8.178398332885308,-43.7878732458077,79.45004864700442
9,4,-1.779281527190937,-60.634551238739924,204.18697916806562
9,5,3.032843150056531,-27.516693925741492,6.064514803221636
9,6,2.49932032074039,-32.74874628051236,11.23301023765464
10,1,4.607741080662924,1.762206600454438,6.368381637321566
10,2,-10.743797293320664,76.79097160992308,118609.09989958313
10,3,8.538550039169793,-45.56010452385928,88.70682505068991
10,4,-1.557790269605919,-60.718770852383855,183.86916402388243
10,5,3.116345721176948,-27.681801404331157,7.2409003219444985
10,6,2.57874587116552,-32.72845259635072,10.804669400895968
11,1,4.6379723430825175,1.7253989228951758,6.180379045054451
11,2,-8.664686188005621,63.15596447545957,103851.71271946352
11,3,8.821312186815659,-47.30798753695313,97.97364731703418
11,4,-1.3023194100701792,-59.518889913274045,162.067952565395
11,5,3.1770215042017926,-27.897890719984307,9.22099469045538
11,6,2.596400471659383,-32.78323906458812,10.556163246005205
12,1,4.615970106023945,1.6559730276245057,6.495962895364624
12,2,-7.167997149044542,53.169412972264446,41936.33377861258
12,3,9.187774609004217,-49.16577913514697,113.69200505639004
12,4,-1.0443743330361455,-58.98435187715819,122.15469278489049
12,5,3.191969667111524,-28.071254099958644,9.32060592630021
12,6,2.650758259048047,-32.87525438215223,8.693265447439309
13,1,4.577121758471895,1.598431699357263,7.009424509653808
13,2,-6.020797992639319,45.02212076089092,6211.266697599806
13,3,9.534413835416467,-50.85216111272075,125.28435078090037
13,4,-0.7350379872737041,-57.96718561469697,102.14267202687925
13,5,3.202934988089688,-28.211261123601194,10.248641159402386
13,6,2.6985179057929796,-32.941458007472875,8.550387164363492
14,1,4.55348855034206,1.5115000713084854,7.299646501020092
14,2,-5.299164180224941,40.401498330735606,2588.3390315928073
14,3,10.12807313023729,-53.97985471383514,150.13195371886988
14,4,-0.5321276497472481,-57.758183014607816,98.61272264999334
14,5,3.23276665878178,-28.359678225965627,11.402542583565635
14,6,2.762568357139055,-33.00377957572223,7.708385377952804
14,7,4.890992589333848,-27.314418681119523,0
15,1,4.505505075431098,1.3802810499884737,8.28340278084246
15,2,-4.5554208924923385,35.110042288321054,1712.4508514917247
15,3,10.585242533277203,-56.40755190155773,170.74509709568633
15,4,-0.4019193699539562,-58.40335276405387,72.82678680413981
15,6,2.887955993616181,-33.51231490048607,11.904031965797786
15,7,4.950124597917319,-27.529644824390477,20.088130480706223
16,1,4.472058814939759,1.2913400286703507,8.237135466887597
16,2,-3.9933744787038967,31.622430298736848,1230.3916605478014
16,3,11.199545060969653,-59.58549500592246,193.02027609427944
16,4,-0.2500307723440095,-58.47810605288742,53.958388498662515
16,6,2.9819008599074084,-33.70643348704354,13.19824374070841
16,7,4.9808315252348825,-27.70568784023483,18.085611677204938
17,1,4.4894737139572625,1.2670225636111416,7.32851925238981
