frame,id,x,y,width,real_width,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf
3,2,874.7609252929688,337.69515323638916,43.0447998046875,6997.723789314727,857.0387,343.2956,0.7730338,866.38477,356.17728,0.8021851,875.0363,344.53998,0.2180708,895.40857,354.8063,0.5560864,904.5502,345.4422,0.038882855,880.8666,359.19836,0.045335542,877.0586,353.9677,0.019737603,851.29285,344.04352,0.03549446,881.7428,339.7391,0.018896079,846.78644,349.83923,0.030065602
3,3,830.5107421875,281.3898525238037,24.869293212890625,1.3622342632343603,820.73346,286.39813,0.7157959,824.9381,292.72595,0.75033075,832.64465,285.8199,0.33722997,841.9433,292.14218,0.56915706,848.531,287.97238,0.042154994,833.6371,296.79373,0.029260317,829.49475,291.64404,0.02061797,820.1728,283.83942,0.033008337,837.2838,279.81635,0.018178478,804.46655,287.2986,0.020619087
3,4,988.4620056152344,309.17399311065674,32.37908935546875,4.569660072523396,1002.6919,319.7634,0.6977301,997.198,316.2821,0.646977,982.26654,319.42804,0.5346772,974.4231,314.15512,0.59352034,967.1432,312.6774,0.041912377,986.5249,321.05295,0.03382945,991.5348,315.54288,0.032192275,988.94934,313.8754,0.035545755,998.24036,312.9083,0.021034215,973.2529,312.17993,0.02254974
3,5,878.1437072753906,246.7906951904297,17.52410888671875,0.6262542232814071,886.0443,254.64381,0.6466753,879.77344,250.52837,0.6063959,872.7302,252.24841,0.6041159,870.96155,251.34978,0.5975995,872.2604,249.33585,0.052433528,878.12024,255.61935,0.04340123,882.61487,246.91968,0.037156347,876.36475,245.95833,0.043654773,879.3781,246.38138,0.026097255,852.7521,257.04425,0.034950614
3,6,910.510986328125,266.6846351623535,24.38653564453125,1.150998404857741,918.1094,274.3704,0.6328152,914.64465,270.25836,0.59415793,904.80927,274.39,0.6324812,900.81244,270.2477,0.6152627,897.7008,270.02603,0.04536215,905.82074,275.5929,0.028828816,907.1576,266.37378,0.027787518,906.7207,267.23608,0.03031116,899.35535,266.68652,0.019810777,883.82886,270.77597,0.02339575
4,1,1144.7968139648438,463.87767219543457,113.63223266601562,2.6172320356870746,1091.2659,472.9279,0.86019295,1137.4735,505.93283,0.8883177,1120.7831,480.73523,0.03400241,1188.6279,501.2436,0.32720485,1216.9285,472.56384,0.0028333755,1159.4248,508.39706,0.0023425105,1159.1556,505.2527,0.000371636,1084.9991,485.97522,0.0014550962,1170.8308,480.8997,0.00041224816,1081.279,485.90268,0.0011922596
4,2,876.6211853027344,339.52424812316895,42.11517333984375,422.94839197087833,857.5198,346.3179,0.7846846,868.2053,358.73605,0.80928516,876.15076,347.55066,0.21183585,897.3627,357.41733,0.54655355,907.9962,347.2199,0.03654074,883.2808,362.573,0.037217952,876.62897,357.63144,0.01681107,853.1876,347.43768,0.030982971,883.239,342.4742,0.016416432,846.22095,352.17047,0.024193577
4,3,830.7189331054688,282.33142375946045,25.43701171875,1.42013221715558,821.2123,286.97443,0.6857136,824.87866,293.2231,0.69920105,835.6765,287.14267,0.37742484,841.33795,292.73505,0.5893836,847.7481,289.4154,0.05663045,832.84033,295.97784,0.06149978,836.5327,290.4704,0.035360917,816.39276,284.67215,0.054150146,834.6343,278.90015,0.034878943,807.98236,289.8195,0.047178466
4,4,985.8849792480469,307.9938554763794,33.52587890625,4.42209417652824,1000.8186,318.4483,0.7000073,994.7456,315.28583,0.6451226,979.05524,318.5501,0.5329649,970.7389,312.95746,0.59438497,963.6875,310.9988,0.04349359,983.6948,319.55136,0.039166477,989.7573,314.85403,0.036683526,986.37616,313.36044,0.038651105,997.9772,312.37732,0.02318303,972.54114,310.87122,0.026295135
4,5,876.8349609375,246.64989852905273,17.576751708984375,0.6271856689881576,884.9087,254.3628,0.65235525,878.926,250.38933,0.61239344,871.84216,252.05788,0.5942586,870.17126,251.2969,0.596463,871.8054,249.17203,0.053460136,877.71515,255.49007,0.045041267,882.24524,246.82733,0.03843665,875.61597,245.77545,0.045518216,879.69275,245.94334,0.027227236,852.8076,256.9958,0.036110893
4,6,909.731689453125,266.4121313095093,23.53271484375,1.1058042886094324,917.5382,274.0107,0.6356662,914.14636,270.00055,0.59527886,904.4021,274.19278,0.6286551,900.4166,270.0637,0.6144001,897.7931,269.793,0.045231484,905.49133,275.30316,0.029179426,906.8362,266.27106,0.027689919,906.099,267.09872,0.030614043,899.6078,266.4018,0.020034416,883.6898,270.48895,0.023624308
5,1,1144.8158569335938,464.8040256500244,114.40145874023438,2.6221927112257064,1091.542,473.89984,0.86040014,1138.2017,506.62985,0.889141,1121.3108,481.79443,0.03430397,1189.0944,502.07065,0.32599524,1217.6407,473.26398,0.0027559455,1160.2235,509.4115,0.0021672598,1159.115,506.33032,0.00034998168,1086.1222,487.01962,0.0013827869,1171.1816,481.81534,0.00038641065,1081.2274,486.99402,0.0010926869
5,2,878.1798706054688,343.3611373901367,42.664764404296875,89.95050426975514,859.12225,350.89557,0.8089577,870.4539,363.20648,0.840461,878.31726,351.60452,0.18308356,901.7741,360.67072,0.46915364,917.6292,349.71033,0.01647678,887.2996,369.4329,0.006497836,870.55023,367.3667,0.003507531,863.22565,352.048,0.008327296,894.70557,349.466,0.0032692312,836.8823,354.20584,0.0038452314
5,3,830.343017578125,283.5424346923828,25.7574462890625,1.4707438102858255,821.0049,288.11304,0.689383,824.9848,294.56253,0.7062592,835.1675,288.24097,0.37014866,841.6548,294.04193,0.59102964,847.814,290.95493,0.05509837,832.9415,297.3301,0.05842076,835.9857,291.60394,0.034109566,816.0375,285.79172,0.05249407,834.2743,280.06506,0.033496812,807.9181,290.81296,0.04419384
5,4,982.9679260253906,307.68149185180664,34.319091796875,4.461317823314689,998.1374,318.31442,0.6922641,991.6544,314.954,0.63440377,976.61206,318.20126,0.53774637,967.7501,312.3526,0.58730626,961.12335,311.0767,0.042282216,980.8097,319.2932,0.038966242,989.49664,314.6043,0.03394101,982.9873,313.40558,0.037735138,997.07355,311.1103,0.022141982,970.01184,310.2772,0.026111195
5,5,876.0071411132812,246.64098930358887,17.685333251953125,0.6313557920229443,885.39417,255.00868,0.6508346,879.59534,250.65784,0.6076532,871.573,252.45248,0.60003877,870.3844,251.3984,0.5979652,871.42163,249.20561,0.05265787,878.2242,256.00745,0.04373322,882.84375,246.8768,0.037449826,875.66675,245.8992,0.044169106,878.6742,246.53365,0.026268635,852.36,257.7361,0.03481948
5,6,908.2030334472656,266.8310194015503,23.46112060546875,1.1086797838416316,916.3363,274.71524,0.6415153,913.1616,270.35962,0.60035604,902.584,274.62308,0.6218011,898.6814,270.35327,0.6150754,894.6083,270.35037,0.04807309,904.6196,275.83212,0.03172386,905.9416,266.9152,0.030418357,904.68567,267.61847,0.03401049,899.1405,266.39203,0.02244502,884.06714,270.54913,0.024994079
6,1,1144.78857421875,465.35840606689453,114.76199340820312,2.6218781701243357,1091.7571,474.4768,0.8581394,1138.4639,507.14178,0.888089,1121.8313,482.40903,0.0348903,1188.6691,502.6997,0.32616538,1217.7329,473.9591,0.0026831706,1160.1975,510.0226,0.002021298,1159.0879,507.0745,0.00033445487,1086.9569,487.766,0.001314843,1171.9376,482.44125,0.00036579987,1081.0134,487.4228,0.0010248022
6,2,880.3472900390625,345.5922803878784,43.269012451171875,47.14031778016286,861.65625,352.57437,0.7388305,872.0504,365.3061,0.74853957,883.82104,356.1369,0.2563649,903.7113,362.87634,0.55258375,913.24207,355.93365,0.047837265,886.76184,367.49924,0.05136882,884.8966,361.32437,0.02115698,855.51434,352.93793,0.04079722,877.6052,348.90067,0.02540554,851.9086,360.14163,0.03719049
6,3,830.8320922851562,284.74353218078613,24.371063232421875,1.4108432878387587,822.0613,289.26437,0.6877715,825.959,295.55032,0.7049606,835.9008,289.38516,0.37715366,842.3811,294.96085,0.5908972,848.92993,292.1093,0.052456338,833.4824,298.33807,0.052228685,836.1914,292.62775,0.03128726,817.3843,286.91788,0.047807757,834.58264,281.4143,0.030359343,808.0608,291.66757,0.039743066
