frame,id,world_x,world_y,speed_kmh,num_wheels,method,contact_points
1,1,4.58283710821769,2.5538343006114923,0,0,keypoint,"1133,504"
1,2,55.76171429747803,-322.3990218106513,0,0,keypoint,"863,352"
1,3,7.109640397050395,-36.27704759718344,0,0,keypoint,"823,289"
1,4,-6.160809387576601,-67.98051673269687,0,0,keypoint,"1005,321"
1,5,2.6024984193406784,-27.571445493292135,0,0,keypoint,"886,254"
1,6,1.7678564937665004,-32.507440948285584,0,0,keypoint,"918,275"
2,1,4.577909137404843,2.4746000906481784,7.1448578636125815,0,keypoint,"1134,505"
2,2,82.92073542698559,-480.67724195332073,14453.228703026165,0,keypoint,"864,354"
2,3,7.260308780846293,-37.07823554115252,73.37087280277034,0,keypoint,"824,291"
2,4,-6.235851350096598,-69.82514838148644,166.15416771307733,0,keypoint,"1004,322"
2,5,2.6024984193406784,-27.571445493292135,0.0,0,keypoint,"886,254"
2,6,1.7678564937665004,-32.507440948285584,0.0,0,keypoint,"918,275"
3,1,4.624093961909094,2.4660122455325393,5.686370256416032,0,keypoint,"1136,505"
3,2,166.84461567288247,-980.7511408609655,30044.637318885772,0,keypoint,"866,356"
3,3,7.365158331508626,-37.490897213697544,55.84524448053976,0,keypoint,"824,292"
3,4,-5.429436374772821,-64.33698686906175,332.69619239040975,0,keypoint,"1002,319"
3,5,2.6024984193406784,-27.571445493292135,0.0,0,keypoint,"886,254"
3,6,1.7484991292648377,-32.22340429522476,12.811297509657283,0,keypoint,"918,274"
4,1,4.647169898151543,2.4617213866091663,4.495057859782167,0,keypoint,"1137,505"
4,2,-2659.7297640931015,15861.845584891991,532373.7134532317,0,keypoint,"868,358"
4,3,7.4731600627980725,-37.915965082754894,50.38738003850923,0,keypoint,"824,293"
4,4,-5.039828020613284,-62.655278401138894,273.5849527149468,0,keypoint,"1000,318"
4,5,2.6741956983814466,-27.562762510640226,2.1666343966218222,0,keypoint,"884,254"
4,6,1.7940141858899545,-32.21581987904144,9.925144376213835,0,keypoint,"917,274"
5,1,4.641855909699736,2.3836668416004003,5.131585962943388,0,keypoint,"1138,506"
5,2,-59.62907806666343,356.2780341007221,753026.6193520237,0,keypoint,"870,363"
5,3,7.5844582941168355,-38.35400715348545,47.95964275583868,0,keypoint,"824,294"
5,4,-4.812066651523262,-62.55477552867743,210.79008800530457,0,keypoint,"998,318"
5,5,2.6624006221470933,-27.74661150204331,5.770082560663017,0,keypoint,"885,255"
5,6,1.8394877890830241,-32.20824237046418,8.48112224661066,0,keypoint,"916,274"
6,1,4.613833450324095,2.310827748069096,5.51005221822081,0,keypoint,"1138,507"
6,2,-41.514723860533394,251.8944026085478,604328.2824878629,0,keypoint,"872,365"
6,3,7.644746129471284,-38.81909181600034,46.8092798599895,0,keypoint,"825,295"
6,4,-4.008921809813107,-59.45156558004347,226.33029371787364,0,keypoint,"993,316"
6,5,2.6741956983814466,-27.562762510640226,7.932151459087734,0,keypoint,"884,254"
6,6,1.884919995449644,-32.2006717600605,7.6139535514935,0,keypoint,"915,274"
7,1,4.563508219618268,2.24305542715452,5.857919553851281,0,keypoint,"1137,508"
7,2,-32.51822383830005,195.5554771682175,504462.6926987781,0,keypoint,"872,367"
7,3,7.771334150984448,-39.79564283856979,53.778555673319346,0,keypoint,"827,297"
7,4,-3.394622280969192,-56.731942027885935,230.43065527921297,0,keypoint,"989,314"
7,5,2.7100054283706587,-27.558425731498453,7.1511969076146364,0,keypoint,"883,254"
7,6,2.5614736503569393,-32.08793402293271,16.633197060123766,0,keypoint,"900,274"
8,1,4.536313091491196,2.1719757059649294,5.999560909479375,0,keypoint,"1137,509"
8,2,-21.964743402928,132.99078090956536,433212.3606784972,0,keypoint,"874,371"
8,3,8.095772094381749,-41.35609303744931,66.58788681827527,0,keypoint,"828,300"
8,4,-3.2710496103624127,-59.14516519952999,228.5797968843022,0,keypoint,"986,316"
8,5,2.734728658408207,-27.73771884322728,8.456607298832788,0,keypoint,"883,255"
8,6,2.020968798103092,-32.17800122382314,21.302195952135314,0,keypoint,"912,274"
9,1,4.554214526156672,2.0936270950808216,6.153752349912078,0,keypoint,"1139,510"
9,2,-17.355548886780504,106.33098897101338,379365.1877025108,0,keypoint,"876,374"
9,3,8.249984629614644,-42.511628240875595,71.37942646770611,0,keypoint,"830,302"
9,4,-3.062118093351672,-59.05840668449041,202.55239500029006,0,keypoint,"984,316"
9,5,2.7815472099575183,-27.549761580547177,9.578662756727379,0,keypoint,"881,254"
9,6,2.6509881445677785,-32.07301774623497,25.824868828758202,0,keypoint,"898,274"
10,1,4.527421953492988,2.0243660703366255,6.212627936634182,0,keypoint,"1139,511"
10,2,-13.289019985938108,83.15377199857342,337448.8127474362,0,keypoint,"879,378"
10,3,8.695815084544654,-44.35129201276246,82.37753011496919,0,keypoint,"830,305"
10,4,-2.8540170043031554,-58.9719930034801,182.2998684214332,0,keypoint,"982,316"
10,5,2.87906810995346,-27.719972453823733,10.476051561617906,0,keypoint,"879,255"
10,6,2.0435887502205112,-31.894771603630414,29.28557096073335,0,keypoint,"911,273"
11,1,4.523060598263198,1.9519593596944953,6.14413427004186,0,keypoint,"1140,512"
11,2,-10.921164998628319,67.96510245799165,335996.61975975824,0,keypoint,"880,382"
11,3,9.058851694353969,-46.451112371761525,95.53492963671121,0,keypoint,"832,308"
11,4,-0.6950778205083731,-56.844687292061515,194.14744794603126,0,keypoint,"961,315"
11,5,2.9327907572349163,-28.08837909724773,14.19908228603941,0,keypoint,"879,257"
11,6,2.7264361735614138,-32.34495088885895,37.46445836925162,0,keypoint,"897,275"
12,1,4.562658615862796,1.872570994857005,6.561528788046981,0,keypoint,"1143,513"
12,2,-8.764715275011143,54.73643103075463,331059.980829662,0,keypoint,"882,387"
12,3,9.41957610460022,-47.964046933961484,106.8306285006907,0,keypoint,"832,310"
12,4,-2.1134230373459317,-56.229984465376006,154.1347454405681,0,keypoint,"976,314"
12,5,2.8862297172495737,-28.287692180542148,16.245875768949784,0,keypoint,"881,258"
12,6,2.1352121399748314,-32.44517002596031,40.6140835035811,0,keypoint,"910,275"
13,1,4.47480961098893,1.8883587969117888,7.21937785779608,0,keypoint,"1139,513"
13,2,-7.337894179045475,46.92477065450458,160358.07139310986,0,keypoint,"885,391"
13,3,9.738101373866453,-49.6320818095693,119.42664055167675,0,keypoint,"833,312"
13,4,-1.8221873946659575,-56.11588204606593,140.0001480414083,0,keypoint,"973,314"
13,5,2.8862297172495737,-28.287692180542148,15.523664303409175,0,keypoint,"881,258"
13,6,2.803681169638662,-32.623360740189064,47.070769320269086,0,keypoint,"896,276"
14,1,4.445181441758814,1.751731573390051,7.835053738754557,0,keypoint,"1140,515"
14,2,-6.888095385667779,45.17883869539352,3155.5078008128967,0,keypoint,"887,392"
14,3,10.309715708258798,-52.40730395466252,143.2418229855522,0,keypoint,"834,315"
14,4,-1.6289368268988695,-56.04016893240869,139.58617895579857,0,keypoint,"971,314"
14,5,2.8862297172495737,-28.287692180542148,13.68139463087733,0,keypoint,"881,258"
14,6,2.8493712782803726,-32.61548101202836,47.07340911497021,0,keypoint,"895,276"
14,7,5.061729592653852,-26.928014145299237,0,0,keypoint,"813,252"
15,1,4.3913964918131505,1.554798296393442,9.096077194623566,0,keypoint,"1141,518"
15,2,-5.899829958695739,38.300228919112925,2165.5629783099007,0,keypoint,"888,397"
15,3,10.544456856383794,-53.40829580460174,148.83354322003728,0,keypoint,"834,316"
15,4,-1.5325819789020971,-56.002418328919624,108.5664710570172,0,keypoint,"970,314"
15,6,2.494093364534471,-33.28444753048888,54.187376029230684,0,keypoint,"904,278"
15,7,5.107377303562668,-27.09367163835682,15.46484917451313,0,keypoint,"813,253"
16,1,4.36362662264853,1.4261365230178078,9.568182938507858,0,keypoint,"1142,520"
16,2,-5.287814304624933,34.88706461628744,1629.711900312294,0,keypoint,"890,400"
16,3,11.31883730163879,-56.71043742162998,172.9035868835882,0,keypoint,"834,319"
16,4,-1.3404106363845991,-55.927128041983835,82.74902551763343,0,keypoint,"968,314"
16,6,2.5581486243032026,-32.96545087357036,50.58219542591691,0,keypoint,"902,277"
16,7,5.085738221537902,-27.270709839004024,15.758433438331288,0,keypoint,"815,254"
17,1,4.36362662264853,1.4261365230178078,8.80713748925809,0,keypoint,"1142,520"
17,2,-4.5519115417065645,30.216321066653517,1042.5101155726975,0,keypoint,"892,405"
17,3,11.947507040617916,-60.68203411217842,197.17583245259007,0,keypoint,"837,322"
17,4,-1.0859798316370362,-53.64263660334874,81.5713373234349,0,keypoint,"966,312"
17,6,2.635481740837644,-33.25919714905532,48.14017188587888,0,keypoint,"901,278"
17,7,5.132518061028212,-27.442913064273156,15.858945910147183,0,keypoint,"815,255"
18,1,4.36362662264853,1.4261365230178078,8.003460552264645,0,keypoint,"1142,520"
18,2,-3.8823870430689698,26.408924060666088,810.6152921092822,0,keypoint,"895,410"
18,3,12.52408197953962,-63.67113262593739,215.96002370419,0,keypoint,"838,324"
18,4,-0.7233916432753672,-53.50828988426999,83.17582217438678,0,keypoint,"962,312"
18,6,2.699545695964222,-33.886646190241656,48.06021854031965,0,keypoint,"901,280"
18,7,5.242988912596074,-27.984363061849667,24.327814255493678,0,keypoint,"816,258"
19,1,4.36362662264853,1.4261365230178078,7.260834704441198,0,keypoint,"1142,520"
19,2,-3.5291051825353907,23.888943352238698,600.7489637836421,0,keypoint,"896,414"
19,3,13.475249749670429,-68.9008558546871,250.18604662135562,0,keypoint,"840,327"
19,4,-0.5605113366317757,-54.50872097710197,91.05856361862821,0,keypoint,"960,313"
19,6,2.634990207380317,-34.23124928443492,45.236062916524354,0,keypoint,"903,281"
19,7,4.909701785583673,-28.418154771729686,29.3090173880096,0,keypoint,"828,260"
20,1,4.3847212386890035,1.4224500535574633,6.7495984241561136,0,keypoint,"1143,520"
20,2,-3.094483408811758,21.655951111982873,469.7766080931572,0,keypoint,"899,418"
20,3,13.90513028188767,-70.83080806326764,248.64881585450328,0,keypoint,"840,328"
20,4,-0.45312562400357026,-53.408150513675174,71.80738004401752,0,keypoint,"959,312"
20,6,2.714731396190358,-33.56022330882428,43.814649275154935,0,keypoint,"900,279"
20,7,5.323802742974382,-28.56402345967172,31.0098008946046,0,keypoint,"818,261"
21,1,4.360474380628117,1.3611137635251451,6.521988301284535,0,keypoint,"1143,521"
21,2,-2.8201315899261488,20.173647368699427,350.81855889735505,0,keypoint,"901,421"
21,3,14.741747769625958,-75.16802759948297,277.26709467230535,0,keypoint,"841,330"
21,4,-0.16792896999986717,-51.33076484159011,77.3178804275548,0,keypoint,"956,310"
21,6,2.714731396190358,-33.56022330882428,37.8180691386794,0,keypoint,"900,279"
21,7,5.323802742974382,-28.56402345967172,26.579829338232514,0,keypoint,"818,261"
22,1,4.292061023834919,1.2441239815517822,6.984673370878395,0,keypoint,"1142,523"
22,2,-2.4737147858656274,18.39820220447214,289.4988332228195,0,keypoint,"904,425"
22,3,15.147914605781178,-77.61603132103816,285.10004432679534,0,keypoint,"842,331"
22,4,0.08749602352244643,-51.24107061008186,76.89713764322552,0,keypoint,"953,310"
22,6,2.714731396190358,-33.56022330882428,30.899956865399517,0,keypoint,"900,279"
22,7,5.3395906154571975,-28.767031362642992,25.54808564869957,0,keypoint,"819,262"
23,1,4.378204743328538,1.2932494533156351,6.578313144754681,0,keypoint,"1145,522"
23,2,-2.166552987819347,16.823945636706537,287.50884691276997,0,keypoint,"907,429"
23,3,17.393870599252566,-89.31825636707583,375.9233002992579,0,keypoint,"844,335"
23,4,0.2537877492279713,-49.38715434606997,93.4352004315586,0,keypoint,"951,308"
23,6,2.7623157925608846,-33.55157368154393,30.91995234616489,0,keypoint,"899,279"
23,7,5.376421692606796,-28.761986924951255,23.081158654565048,0,keypoint,"818,262"
24,1,4.354281710537185,1.2333746827905159,5.181625689691671,0,keypoint,"1145,523"
24,2,-1.8396520754954064,14.792466387509045,238.59257588409895,0,keypoint,"910,435"
24,3,18.012333896275905,-92.96210849178969,402.6014684930521,0,keypoint,"845,336"
24,4,0.4155858222783715,-49.333202899856914,94.10590058073865,0,keypoint,"949,308"
24,6,2.7623157925608846,-33.55157368154393,23.345398901790546,0,keypoint,"899,279"
24,7,5.484956884445797,-29.170318958017834,25.587944884236027,0,keypoint,"818,264"
25,1,4.375004270392123,1.229794635722808,4.075675686330425,0,keypoint,"1146,523"
25,2,-1.6485421307774795,13.604840803200327,215.94560812338113,0,keypoint,"912,439"
25,3,18.689921742135596,-96.95430968416362,409.1771668376616,0,keypoint,"846,337"
25,4,0.5685946884968489,-48.44344443634062,101.07014961473223,0,keypoint,"947,307"
25,6,2.747781214605799,-33.87772043296056,23.35646020153633,0,keypoint,"900,280"
25,7,5.540942726955957,-29.380949376666077,25.983827377501648,0,keypoint,"818,265"
26,1,4.357359631578059,1.2968643889369913,4.769194617224903,0,keypoint,"1144,522"
26,2,-1.4497575578337634,12.76961204748325,177.24758081497222,0,keypoint,"915,442"
26,3,20.56880837359538,-105.86080504145998,459.9919153733364,0,keypoint,"846,339"
26,4,0.5685946884968489,-48.44344443634062,78.08398819617099,0,keypoint,"947,307"
26,6,2.747781214605799,-33.87772043296056,20.318907152218284,0,keypoint,"900,280"
26,7,5.59812294208958,-29.596073274280144,26.425321218363713,0,keypoint,"818,266"
27,1,4.307244429112257,1.1156493736290223,6.649365228931613,0,keypoint,"1145,525"
27,2,-1.0222035294983527,11.47112059029901,152.26012643354568,0,keypoint,"923,447"
27,3,21.498742494989074,-111.21953323761642,483.93810745718645,0,keypoint,"847,340"
27,4,0.714891674169593,-47.59271608048606,82.84937462838849,0,keypoint,"945,306"
27,6,2.776467483477876,-33.234018673487235,20.455202543606614,0,keypoint,"898,278"
27,7,5.59812294208958,-29.596073274280144,20.899274630415583,0,keypoint,"818,266"
28,1,4.351239968176561,1.1706312510766028,7.353539518807313,0,keypoint,"1146,524"
28,2,-1.0246511111049659,10.822691060424265,133.29822882475213,0,keypoint,"922,450"
28,3,22.538127236855747,-117.2089686124026,491.57245295807076,0,keypoint,"848,341"
28,4,0.9442397914103213,-43.960601822267535,109.10681902852171,0,keypoint,"941,301"
28,7,5.503009958754643,-29.386397886005387,17.731244533208024,0,keypoint,"819,265"
29,1,4.375004270392123,1.229794635722808,7.77697367034216,0,keypoint,"1146,523"
29,2,-0.8479337091838968,9.78350139166962,121.09035438098084,0,keypoint,"925,455"
29,3,23.53147873256002,-124.19214720932531,542.3347298430124,0,keypoint,"850,342"
29,4,0.874673659865999,-43.98020913098807,98.77161394084123,0,keypoint,"942,301"
29,7,5.409810912908394,-29.180941749109394,15.596896230368507,0,keypoint,"820,264"
30,1,4.375004270392123,1.229794635722808,7.117424536406452,0,keypoint,"1146,523"
30,2,-0.7428977395751348,9.20802133050233,111.8654337058991,0,keypoint,"927,458"
30,3,23.17705275065764,-124.68492792405034,504.23303028994854,0,keypoint,"852,342"
30,4,0.9840465880286524,-42.70491374086373,90.60267168395875,0,keypoint,"940,299"
30,7,5.265843856325804,-28.77713182562689,19.883957784440266,0,keypoint,"821,262"
30,8,2.7754658903039884,-30.48377337677439,0,0,keypoint,"891,268"
31,1,4.3990409249998015,1.2896360663384763,6.407059910266543,0,keypoint,"1146,522"
31,2,-0.5574913646517982,8.316536992813448,102.88178422290127,0,keypoint,"931,463"
31,3,23.17705275065764,-124.68492792405034,479.41832956731156,0,keypoint,"852,342"
31,4,1.1014392676487945,-42.08462765003362,94.2084846170896,0,keypoint,"938,298"
31,7,5.141136620862408,-28.588652615397677,20.107755713232777,0,keypoint,"823,261"
31,8,2.8113140736043962,-29.773022191698438,64.04891840301262,0,keypoint,"888,265"
32,1,4.3990409249998015,1.2896360663384763,5.415392002939885,0,keypoint,"1146,522"
32,2,-0.35047143199977604,7.351882580397443,96.70853902313043,0,keypoint,"936,469"
32,3,25.962907959199043,-141.28489293812703,528.5813582175226,0,keypoint,"854,344"
32,4,1.1970781580080254,-40.94330013121371,87.04816755653938,0,keypoint,"936,296"
32,7,5.141136620862408,-28.588652615397677,19.736006524178453,0,keypoint,"823,261"
